accession	start	end	strand	matching_mode	reference_id	reference_start	reference_end	reference_product	PhageMine_product	PhageMine_category	PhageMine_review_notes	Pharokka_product	Pharokka_category	Pharokka_review_notes
NC_005859.1	14684	14884	-	relaxed	YP_006855.1	14684	14884	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	14984	15310	-	relaxed	YP_006856.1	14984	15310	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	15300	15545	-	relaxed	YP_006857.1	15300	15545	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	15542	15823	-	relaxed	YP_006858.1	15542	15823	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	15823	15987	-	relaxed	YP_006859.1	15823	15987	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	15987	16238	-	relaxed	YP_006860.1	15987	16238	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	16317	16748	-	relaxed	YP_006861.1	16317	16748	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	16916	17437	-	relaxed	YP_006862.1	16916	17437	phosphoesterase	phosphoesterase	EXACT_PRODUCT_AGREEMENT		phosphoesterase	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	17437	18300	-	relaxed	YP_006863.1	17437	18300	NinI-like serine-threonine phosphatase	nini-like serine-threonine phosphatase	EXACT_PRODUCT_AGREEMENT		NinI-like serine-threonine phosphatase	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	18303	18548	-	relaxed	YP_006864.1	18303	18548	major head protein	major capsid protein	EQUIVALENT_FUNCTION		major head protein	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	18646	18936	-	relaxed	YP_006865.1	18646	18936	putative thioredoxin	thioredoxin domain	UNRESOLVED_REVIEW_REQUIRED		thioredoxin domain	UNRESOLVED_REVIEW_REQUIRED	
NC_005859.1	18929	19360	-	relaxed	YP_006866.1	18929	19360	hypothetical protein	dna binding protein	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	19436	19852	-	relaxed	YP_006867.1	19436	19852	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	19931	20344	-	relaxed	YP_006868.1	19931	20344	endolysin	l-alanyl-d-glutamate peptidase	UNRESOLVED_REVIEW_REQUIRED		endolysin	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	20341	21024	-	relaxed	YP_006869.1	20341	20997	holin	holin	EXACT_PRODUCT_AGREEMENT		holin	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	21154	21753	-	relaxed	YP_006870.1	21154	21753	ATP-dependent protease	atp-dependent protease	EXACT_PRODUCT_AGREEMENT		ATP-dependent protease	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	21766	22518	-	relaxed	YP_006871.1	21766	22518	deoxynucleoside monophosphate kinase	deoxynucleoside-5'-monophosphate kinase	UNRESOLVED_REVIEW_REQUIRED		deoxynucleoside monophosphate kinase	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	22518	22871	-	relaxed	YP_006872.1	22518	22871	Rz-like spanin	rz-like spanin	EXACT_PRODUCT_AGREEMENT		Rz-like spanin	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	22802	23245	-	relaxed	YP_006873.1	22802	23245	Rz-like spanin	rz-like spanin	EXACT_PRODUCT_AGREEMENT		Rz-like spanin	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	23245	23742	-	relaxed	YP_006874.1	23245	23742	H-N-H-endonuclease F-TflVI	hnh endonuclease	UNRESOLVED_REVIEW_REQUIRED		HNH endonuclease	UNRESOLVED_REVIEW_REQUIRED	
NC_005859.1	23739	24437	-	relaxed	YP_006875.1	23739	24437	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	24592	24936	-	relaxed	YP_006876.1	24592	24936	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	25047	25331	-	relaxed	YP_006877.1	25047	25331	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	25328	25657	-	relaxed	YP_006878.1	25328	25624	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	25638	26150	-	relaxed	YP_006879.1	25638	26150	H-N-H-endonuclease F-TflV	hnh endonuclease	UNRESOLVED_REVIEW_REQUIRED		HNH endonuclease	UNRESOLVED_REVIEW_REQUIRED	
NC_005859.1	26147	26446	-	relaxed	YP_006880.1	26147	26443	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	26436	26717	-	relaxed	YP_006881.1	26436	26717	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	26794	27141	-	relaxed	YP_006882.1	26794	27141	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	27263	27439	-	relaxed	YP_006883.1	27263	27574	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	27656	28024	-	relaxed	YP_006884.1	27656	28024	putative acetyltransferase-related protein	autonomous glycyl radical cofactor	UNRESOLVED_REVIEW_REQUIRED		hypothetical protein	ABSTENTION	
NC_005859.1	28302	28592	-	relaxed	YP_006886.1	28302	28592	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	28752	28916	-	relaxed	YP_006887.1	28752	28916	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	28909	29160	-	relaxed	YP_006888.1	28909	29160	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	29397	29978	-	relaxed	YP_006889.1	29397	29978	HNH endonuclease	hnh endonuclease	EXACT_PRODUCT_AGREEMENT		HNH endonuclease	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	29980	30180	-	relaxed	YP_006890.1	29980	30180	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	30651	30824	-	relaxed	YP_006891.1	30651	30824	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	31022	31606	-	relaxed	YP_006892.1	31022	31606	HNH endonuclease	h-n-h endonuclease f-tfli	UNRESOLVED_REVIEW_REQUIRED		HNH endonuclease	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	32240	32407	-	relaxed	YP_006893.1	32240	32407	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	33205	33633	-	relaxed	YP_006895.1	33205	33552	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	33664	33849	-	relaxed	YP_006896.1	33664	33849	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	34006	34524	-	relaxed	YP_006897.1	34006	34524	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	34627	34755	-	relaxed	YP_006898.1	34627	34755	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	34806	35078	-	relaxed	YP_006899.1	34806	35078	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	35617	35892	-	relaxed	YP_006900.1	35617	35892	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	35983	36189	-	relaxed	YP_006901.1	35983	36189	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	36182	36349	-	relaxed	YP_006902.1	36182	36349	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	36379	37062	-	relaxed	YP_006903.1	36379	37062	HNH endonuclease	h-n-h endonuclease f-tfliv	UNRESOLVED_REVIEW_REQUIRED		HNH endonuclease	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	37279	37848	-	relaxed	YP_006904.1	37279	37797	DNA primase	dna primase	EXACT_PRODUCT_AGREEMENT		DNA primase	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	38064	39029	+	relaxed	YP_006905.1	38064	39029	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	39051	39467	+	relaxed	YP_006906.1	39051	39467	hypothetical protein	capsid protein	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	39477	39671	+	relaxed	YP_006907.1	39477	39671	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	39791	40738	-	relaxed	YP_006908.1	39791	40738	lipoprotein	band 7/spfh family protein	UNRESOLVED_REVIEW_REQUIRED		lipoprotein	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	41617	42045	-	relaxed	YP_006909.1	41617	42051	tRNA amidotransferase	trna amidotransferase	EXACT_PRODUCT_AGREEMENT		tRNA amidotransferase	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	42051	42221	-	relaxed	YP_006910.1	42051	42221	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	42290	42739	-	relaxed	YP_006911.1	42290	42739	endolysin	endolysin	EXACT_PRODUCT_AGREEMENT		endolysin	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	42745	43062	-	relaxed	YP_006912.1	42745	43062	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	43505	44143	-	relaxed	YP_006913.1	43505	44143	tail fiber protein	tail fiber protein	EXACT_PRODUCT_AGREEMENT		tail fiber protein	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	44196	44378	-	relaxed	YP_006914.1	44196	44378	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	44449	45150	-	relaxed	YP_006915.1	44449	45150	exonuclease	exonuclease	EXACT_PRODUCT_AGREEMENT		exonuclease	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	45179	45415	-	relaxed	YP_006916.1	45179	45415	hypothetical protein	exonuclease	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	45458	45973	-	relaxed	YP_006917.1	45458	45973	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	46057	46335	-	relaxed	YP_006918.1	46057	46335	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	46412	46888	-	relaxed	YP_006919.1	46412	46888	Rnase H	conserved phage protein of unknown function	ABSTENTION		Rnase H	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	47022	47861	-	relaxed	YP_006920.1	47022	47861	thymidylate synthase	thymidylate synthase	EXACT_PRODUCT_AGREEMENT		thymidylate synthase	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	47861	48394	-	relaxed	YP_006921.1	47861	48394	putative dihydrofolate reductase	dihydrofolate reductase	UNRESOLVED_REVIEW_REQUIRED		dihydrofolate reductase	UNRESOLVED_REVIEW_REQUIRED	
NC_005859.1	48391	49536	-	relaxed	YP_006922.1	48391	49536	putative aerobic ribonucleoside diphosphate reductase, small subunit	conserved phage protein of unknown function	ABSTENTION		ribonucleoside diphosphate reductase small subunit	UNRESOLVED_REVIEW_REQUIRED	
NC_005859.1	49536	50060	-	relaxed	YP_006923.1	49536	50060	putative H-N-H-endonuclease P-TflVIII	hnh endonuclease	UNRESOLVED_REVIEW_REQUIRED		HNH endonuclease	UNRESOLVED_REVIEW_REQUIRED	
NC_005859.1	50163	52598	-	relaxed	YP_006924.1	50163	52598	ribonucleoside-diphosphate reductase large subunit	ribonucleotide reductase large subunit	UNRESOLVED_REVIEW_REQUIRED		ribonucleotide reductase large subunit	UNRESOLVED_REVIEW_REQUIRED	
NC_005859.1	52678	52836	-	relaxed	YP_006925.1	52678	52836	tail length tape measure protein	tail length tape measure protein	EXACT_PRODUCT_AGREEMENT		tail length tape measure protein	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	52838	53590	-	relaxed	YP_006926.1	52838	53590	PhoH-like phosphate starvation-inducible	phoh-like phosphate starvation-inducible	EXACT_PRODUCT_AGREEMENT		PhoH-like phosphate starvation-inducible	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	53961	55685	+	relaxed	YP_006927.1	53961	55685	NrdD-like anaerobic ribonucleotide reductase large subunit	anaerobic ribonucleoside-triphosphate reductase	UNRESOLVED_REVIEW_REQUIRED		NrdD-like anaerobic ribonucleotide reductase large subunit	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	55786	56166	+	relaxed	YP_006928.1	55786	56166	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	56159	56392	+	relaxed	YP_006929.1	56159	56392	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	56447	57265	+	relaxed	YP_006930.1	56447	57265	Sir2 (NAD-dependent deacetylase)	sir2 (nad-dependent deacetylase)	EXACT_PRODUCT_AGREEMENT		Sir2 (NAD-dependent deacetylase)	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	57243	57428	+	relaxed	YP_006931.1	57243	57428	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	57419	57601	+	relaxed	YP_006932.1	57419	57601	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	57588	58094	+	relaxed	YP_006933.1	57588	58094	Sir2 (NAD-dependent deacetylase)	sir2 (nad-dependent deacetylase)	EXACT_PRODUCT_AGREEMENT		Sir2 (NAD-dependent deacetylase)	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	58097	58525	+	relaxed	YP_006934.1	58097	58525	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	58535	58927	+	relaxed	YP_006935.1	58535	58927	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	59545	62331	+	relaxed	YP_006936.1	59545	62331	replication origin binding	putative replication origin binding protein	UNRESOLVED_REVIEW_REQUIRED		replication origin binding	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	62318	62836	+	relaxed	YP_006937.1	62318	62836	HNH endonuclease	hnh endonuclease	EXACT_PRODUCT_AGREEMENT		HNH endonuclease	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	62820	63053	+	relaxed	YP_006938.1	62820	63053	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	63122	63826	+	relaxed	YP_006939.1	63122	63826	helicase	helicase	EXACT_PRODUCT_AGREEMENT		helicase	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	63819	64070	+	relaxed	YP_006940.1	63819	64070	transcriptional regulator	transcriptional regulator	EXACT_PRODUCT_AGREEMENT		transcriptional regulator	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	64174	64584	+	relaxed	YP_006941.1	64174	64584	DNA binding protein	dna binding protein	EXACT_PRODUCT_AGREEMENT		DNA binding protein	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	64621	64917	+	relaxed	YP_006942.1	64621	64917	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	64968	65276	+	relaxed	YP_006943.1	64968	65276	transcriptional regulator	transcriptional regulator	EXACT_PRODUCT_AGREEMENT		transcriptional regulator	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	65364	66335	+	relaxed	YP_006944.1	65364	66335	NAD-dependent DNA ligase	nad-dependent dna ligase	EXACT_PRODUCT_AGREEMENT		NAD-dependent DNA ligase	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	66538	67317	+	relaxed	YP_006945.1	66538	67317	NAD-dependent DNA ligase	nad-dependent dna ligase	EXACT_PRODUCT_AGREEMENT		NAD-dependent DNA ligase	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	67310	68077	+	relaxed	YP_006946.1	67310	68077	D5 protein	putative transcription factor d5	UNRESOLVED_REVIEW_REQUIRED		transcriptional regulator, D5-like	UNRESOLVED_REVIEW_REQUIRED	
NC_005859.1	68109	69617	+	relaxed	YP_006947.1	68109	69617	D6 protein	dnab-like replicative helicase	UNRESOLVED_REVIEW_REQUIRED		DnaB-like replicative helicase	UNRESOLVED_REVIEW_REQUIRED	
NC_005859.1	69614	70147	+	relaxed	YP_006948.1	69614	70147	putative H-N-H-endonuclease P-TflX	hnh endonuclease	UNRESOLVED_REVIEW_REQUIRED		HNH endonuclease	UNRESOLVED_REVIEW_REQUIRED	
NC_005859.1	70144	71034	+	relaxed	YP_006949.1	70144	71034	putative DNA replication primase	dna primase	UNRESOLVED_REVIEW_REQUIRED		DNA primase	UNRESOLVED_REVIEW_REQUIRED	
NC_005859.1	71097	73664	+	relaxed	YP_006950.1	71097	73664	DNA polymerase	family-a dna polymerase	UNRESOLVED_REVIEW_REQUIRED		DNA polymerase	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	73657	74154	+	relaxed	YP_006951.1	73657	74154	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	74151	75503	+	relaxed	YP_006952.1	74151	75503	putative ATP-dependent helicase	probable helicase d10	UNRESOLVED_REVIEW_REQUIRED		DNA helicase	UNRESOLVED_REVIEW_REQUIRED	
NC_005859.1	75724	76008	+	relaxed	YP_006953.1	75724	76008	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	76001	76774	+	relaxed	YP_006954.1	76001	76774	single strand DNA binding protein	probable ssdna-binding protein	UNRESOLVED_REVIEW_REQUIRED		single strand DNA binding protein	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	76811	77788	+	relaxed	YP_006955.1	76811	77788	putative recombination endonuclease, subunit D12	probable exonuclease subunit 1	UNRESOLVED_REVIEW_REQUIRED		SbcD-like subunit of palindrome specific endonuclease	UNRESOLVED_REVIEW_REQUIRED	
NC_005859.1	77769	79607	+	relaxed	YP_006956.1	77769	79607	putative recombination endonuclease, subunit D13	probable exonuclease subunit 2	UNRESOLVED_REVIEW_REQUIRED		SbcC-like subunit of palindrome specific endonuclease	UNRESOLVED_REVIEW_REQUIRED	
NC_005859.1	79611	80093	+	relaxed	YP_006957.1	79611	80093	RusA-like Holliday junction resolvase	protein d14	UNRESOLVED_REVIEW_REQUIRED		RusA-like Holliday junction resolvase	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	80093	80968	+	relaxed	YP_006958.1	80093	80968	flap endonuclease	flap endonuclease	EXACT_PRODUCT_AGREEMENT		exonuclease	UNRESOLVED_REVIEW_REQUIRED	
NC_005859.1	80965	81411	+	relaxed	YP_006959.1	80965	81411	dUTPase	deoxyuridine 5'-triphosphate nucleotidohydrolase	UNRESOLVED_REVIEW_REQUIRED		dUTPase	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	81374	81637	+	relaxed	YP_006960.1	81374	81637	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	81865	86055	-	relaxed	YP_006961.1	81865	86055	tail fiber protein	side tail fiber protein pb1	UNRESOLVED_REVIEW_REQUIRED		tail fiber protein	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	86055	86318	-	relaxed	YP_006963.1	86055	86318	hypothetical protein	collar protein p132	NON_EVALUABLE_REFERENCE		unknown function	NON_EVALUABLE_REFERENCE	
NC_005859.1	86294	86479	-	relaxed	YP_006964.1	86294	86479	collar tail protein for L-shaped tail fibre attachment	collar protein p132	UNRESOLVED_REVIEW_REQUIRED		collar tail protein for L-shaped tail fibre attachment	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	86484	88550	-	relaxed	YP_006965.1	86484	88550	straight fibre tail protein	straight fiber protein pb4	UNRESOLVED_REVIEW_REQUIRED		straight fibre tail protein	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	88551	91400	-	relaxed	YP_006966.1	88551	91400	tail protein Pb3	baseplate hub protein pb3	UNRESOLVED_REVIEW_REQUIRED		central tail fiber J	UNRESOLVED_REVIEW_REQUIRED	
NC_005859.1	91397	92011	-	relaxed	YP_006967.1	91397	92011	distal tail protein	distal tail protein pb9	UNRESOLVED_REVIEW_REQUIRED		distal tail protein	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	92121	95780	-	relaxed	YP_006968.1	92121	95780	tail length tape measure protein	tape measure protein pb2 precursor	UNRESOLVED_REVIEW_REQUIRED		tail length tape measure protein	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	95777	96574	-	relaxed	YP_006969.1	95777	96529	endonuclease	putative endonuclease	UNRESOLVED_REVIEW_REQUIRED		endonuclease	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	96624	96992	-	relaxed	YP_006970.1	96624	96992	tail assembly chaperone	tail assembly chaperone	EXACT_PRODUCT_AGREEMENT		tail assembly chaperone	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	97054	97458	-	relaxed	YP_006971.1	97054	97458	Tail assembly chaperone	tail assembly chaperone	EXACT_PRODUCT_AGREEMENT		Tail assembly chaperone	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	97458	98354	-	relaxed	YP_006972.1	97458	98354	base plate tail tube protein	baseplate tube protein p140	UNRESOLVED_REVIEW_REQUIRED		base plate tail tube protein	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	98359	99753	-	relaxed	YP_006973.1	98359	99753	major tail protein	tail tube protein pb6	UNRESOLVED_REVIEW_REQUIRED		major tail protein	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	99780	100265	-	relaxed	YP_006974.1	99780	100265	tail terminator	tail tube terminator protein p142	UNRESOLVED_REVIEW_REQUIRED		tail terminator	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	100269	101036	-	relaxed	YP_006975.1	100269	101036	tail completion or Neck1 protein	tail completion protein p143	UNRESOLVED_REVIEW_REQUIRED		tail completion or Neck1 protein	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	101036	101548	-	relaxed	YP_006976.1	101036	101548	head-tail adaptor	head completion protein	UNRESOLVED_REVIEW_REQUIRED		head-tail adaptor	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	101608	102984	-	relaxed	YP_006977.1	101608	102984	major head protein	major capsid protein	EQUIVALENT_FUNCTION		major head protein	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	103002	103634	-	relaxed	YP_006978.1	103002	103634	head maturation protease	prohead protease	UNRESOLVED_REVIEW_REQUIRED		head maturation protease	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	103638	104132	-	relaxed	YP_006979.1	103638	104132	Hoc-like head decoration	decoration protein	UNRESOLVED_REVIEW_REQUIRED		tail protein	UNRESOLVED_REVIEW_REQUIRED	
NC_005859.1	104135	105346	-	relaxed	YP_006980.1	104135	105346	portal protein	portal protein	EXACT_PRODUCT_AGREEMENT		portal protein	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	105346	105783	-	relaxed	YP_006981.1	105346	105783	hypothetical protein	nicking endonuclease	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	105773	106606	-	relaxed	YP_006982.1	105773	106606	endonuclease	putative endonuclease	UNRESOLVED_REVIEW_REQUIRED		endonuclease	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	106618	107934	-	relaxed	YP_006983.1	106618	107934	terminase large subunit	terminase, large subunit	EXACT_PRODUCT_AGREEMENT		terminase large subunit	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	107934	108416	-	relaxed	YP_006984.1	107934	108416	terminase small subunit	probable terminase, small subunit	UNRESOLVED_REVIEW_REQUIRED		terminase small subunit	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	108427	110349	-	relaxed	YP_006985.1	108427	110349	receptor binding tail protein	receptor-binding protein pb5	UNRESOLVED_REVIEW_REQUIRED		receptor binding tail protein	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	110429	110662	+	relaxed	YP_006986.1	110429	110662	Cor superinfection exclusion protein	lytic conversion lipoprotein	UNRESOLVED_REVIEW_REQUIRED		Cor superinfection exclusion protein	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	110781	110954	+	relaxed	YP_006987.1	110826	110954	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	110954	111061	+	relaxed	YP_006988.1	110954	111061	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	111058	111252	+	relaxed	YP_006989.1	111058	111252	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
